filiere,type_ecole,ville,moyenne,stages,niveau_francais,niveau_anglais,niveau_programmation,niveau_algorithme,projets,certifications,participation_hackathon,open_source_contributions,soft_skills,linkedin_profile,recrute,salaire_estime_dh
GI,EST,Kenitra,13.36,4,6,5,9,3,0,2,0,0,5,0,0,0
GI,OFPPT,Fès,11.51,3,6,8,8,10,1,1,0,1,9,1,1,9000
Développement Web,Privée (EMSI/IGA),Agadir,10.07,4,8,7,6,8,5,2,0,0,9,1,1,12700
Développement Web,ENSA,Agadir,17.76,0,5,5,7,5,5,3,0,0,4,1,0,0
Data Science,OFPPT,Marrakech,13.45,3,10,6,8,9,1,0,0,1,5,1,1,8200
GI,OFPPT,Rabat,17.75,0,4,7,10,9,1,2,0,1,7,1,0,0
Cybersécurité,ENSA,Rabat,11.12,3,6,3,3,7,1,0,0,0,4,1,0,0
Réseaux & Télécoms,EST,Fès,14.7,4,5,9,5,4,3,1,1,0,10,1,1,9700
Cybersécurité,FST,Agadir,11.61,4,10,10,9,8,2,3,0,0,6,1,1,12200
GINF,Privée (EMSI/IGA),Rabat,16.32,0,9,9,4,10,7,3,0,1,9,1,1,13000
GINF,ENSA,Rabat,16.27,2,8,10,7,6,6,2,0,0,6,1,0,0
Développement Web,OFPPT,Kenitra,10.9,4,8,5,10,10,7,0,0,0,8,1,1,8000
Data Science,EST,Fès,17.3,2,9,9,9,9,5,0,1,0,7,1,1,8300
GINF,OFPPT,Marrakech,11.56,3,5,5,5,5,3,2,0,0,8,0,0,0
GI,FST,Kenitra,14.9,2,4,9,7,8,6,2,0,0,5,1,1,10600
Cybersécurité,Faculté (FS),Kenitra,17.89,0,5,10,6,10,0,2,0,0,5,1,0,0
Cybersécurité,OFPPT,Tanger,17.06,1,5,8,5,9,4,2,0,0,9,1,1,7900
Développement Web,OFPPT,Casablanca,17.65,1,7,9,9,10,1,3,0,0,4,0,0,0
Réseaux & Télécoms,OFPPT,Tanger,12.74,0,10,10,4,6,5,2,0,0,9,1,0,0
Développement Web,ENSA,Rabat,10.84,1,8,8,6,8,6,0,0,1,7,0,1,11600
Réseaux & Télécoms,Faculté (FS),Agadir,11.51,0,4,7,5,8,0,1,1,0,4,1,0,0
Développement Web,ENSA,Casablanca,14.0,4,7,3,7,5,5,0,1,0,4,1,0,0
Développement Web,FST,Casablanca,16.35,2,9,5,9,4,7,2,0,0,10,1,1,10800
Développement Web,FST,Agadir,11.2,1,5,7,6,6,7,3,1,0,10,0,1,10100
Réseaux & Télécoms,FST,Casablanca,15.28,4,9,5,4,4,4,2,0,0,5,1,0,0
Réseaux & Télécoms,FST,Agadir,12.59,1,8,9,5,10,6,1,0,0,5,1,1,9700
Développement Web,Privée (EMSI/IGA),Casablanca,12.73,3,7,8,7,6,1,2,0,0,9,1,1,13400
GINF,ENSA,Kenitra,15.3,0,10,3,9,9,5,1,0,0,7,1,1,9000
Data Science,Faculté (FS),Fès,13.74,0,7,9,7,9,1,2,0,0,5,1,0,0
Data Science,EST,Fès,16.5,4,4,3,10,5,4,3,1,1,7,1,1,9800
Data Science,ENSA,Tanger,11.25,3,10,4,8,10,3,0,0,0,8,1,1,10300
Réseaux & Télécoms,ENSA,Kenitra,16.32,2,5,7,6,4,6,1,0,0,9,1,0,0
Réseaux & Télécoms,Privée (EMSI/IGA),Casablanca,10.51,3,4,8,9,9,4,0,1,0,6,0,1,12600
GINF,OFPPT,Marrakech,11.55,3,7,8,5,5,4,2,0,0,9,1,1,8900
Data Science,Privée (EMSI/IGA),Agadir,15.25,2,10,8,8,8,5,0,0,0,8,0,1,11100
Data Science,Privée (EMSI/IGA),Kenitra,16.84,2,7,9,7,8,7,3,0,0,10,0,1,12500
Développement Web,ENSA,Casablanca,12.02,3,4,6,6,5,6,3,0,0,10,1,0,0
Réseaux & Télécoms,EST,Fès,12.62,1,7,5,3,10,2,0,0,0,5,1,0,0
Data Science,Faculté (FS),Fès,14.3,1,10,3,9,6,1,0,0,0,6,1,1,7100
Cybersécurité,FST,Agadir,11.69,3,6,5,7,9,6,3,0,0,6,1,1,10700
GINF,FST,Marrakech,16.49,1,8,5,6,8,7,1,0,0,9,1,0,0
Cybersécurité,EST,Casablanca,16.19,2,5,6,3,6,5,1,0,0,9,1,0,0
Cybersécurité,Faculté (FS),Casablanca,11.16,2,8,3,9,4,1,3,1,0,4,1,0,0
GINF,Faculté (FS),Marrakech,13.71,1,5,4,6,7,3,3,0,0,6,1,0,0
Cybersécurité,ENSA,Marrakech,16.2,2,10,8,7,8,6,1,1,0,7,0,1,11000
Data Science,FST,Marrakech,12.7,0,7,7,3,8,3,0,1,0,5,1,0,0
Réseaux & Télécoms,Faculté (FS),Fès,15.06,2,10,5,10,3,2,0,0,0,10,1,0,0
GINF,Faculté (FS),Agadir,10.4,3,4,6,9,10,2,2,1,0,5,1,1,9500
Développement Web,ENSA,Kenitra,14.87,4,4,6,6,6,2,1,0,1,4,1,0,0
Cybersécurité,OFPPT,Marrakech,11.22,1,7,7,5,10,7,3,1,0,9,1,1,8100
GINF,ENSA,Agadir,16.64,1,5,7,3,5,3,2,0,1,9,0,0,0
GI,EST,Tanger,12.84,2,7,9,6,3,4,0,0,0,4,0,0,0
GI,OFPPT,Casablanca,12.25,2,5,10,5,4,7,1,0,0,5,1,0,0
Réseaux & Télécoms,Faculté (FS),Casablanca,16.73,4,7,3,10,3,5,2,0,0,4,0,0,0
Data Science,EST,Rabat,10.4,4,7,5,3,3,1,0,0,0,6,0,0,0
Réseaux & Télécoms,Faculté (FS),Tanger,13.17,3,7,5,6,7,1,3,0,0,10,1,1,9700
Réseaux & Télécoms,Faculté (FS),Kenitra,12.96,0,4,7,7,7,5,0,1,0,6,1,0,0
Réseaux & Télécoms,OFPPT,Marrakech,12.28,3,5,10,3,3,0,0,0,0,7,0,0,0
Réseaux & Télécoms,OFPPT,Marrakech,17.29,1,9,8,3,7,3,1,1,0,9,0,1,7500
Développement Web,Faculté (FS),Kenitra,16.01,2,7,9,9,9,3,3,0,0,4,1,1,10000
Développement Web,FST,Fès,10.51,3,8,4,5,7,2,1,0,1,5,1,0,0
GINF,ENSA,Tanger,15.72,2,8,5,8,3,7,3,1,0,9,1,1,11200
GI,EST,Marrakech,14.22,2,10,6,9,6,6,2,0,0,9,1,1,8500
Réseaux & Télécoms,FST,Rabat,17.21,3,10,8,8,7,6,0,0,0,8,0,1,11100
GINF,Faculté (FS),Agadir,12.5,3,4,7,6,3,5,1,1,0,5,1,0,0
GI,FST,Casablanca,14.59,4,6,5,7,10,0,3,0,0,9,1,1,12200
Cybersécurité,EST,Tanger,14.01,0,9,3,5,6,0,1,0,0,8,0,0,0
Data Science,ENSA,Casablanca,13.92,4,4,7,3,10,3,0,1,0,8,1,0,0
Développement Web,FST,Agadir,13.65,0,6,6,8,8,2,0,1,0,10,1,0,0
Cybersécurité,EST,Tanger,11.65,3,4,3,5,7,1,2,1,0,7,1,0,0
GI,OFPPT,Agadir,16.05,0,10,9,5,3,2,3,1,1,8,1,0,0
Cybersécurité,ENSA,Marrakech,13.61,1,8,7,9,7,1,3,0,0,6,1,0,0
Data Science,Faculté (FS),Kenitra,17.67,4,7,7,5,6,6,2,0,0,6,1,1,10200
GI,Privée (EMSI/IGA),Marrakech,12.09,4,5,5,3,9,3,2,1,0,9,0,1,12300
Cybersécurité,ENSA,Kenitra,15.46,4,10,3,9,3,7,3,0,0,7,1,1,11800
Développement Web,FST,Marrakech,17.53,2,7,10,4,6,2,3,0,1,5,1,1,11700
Développement Web,ENSA,Agadir,15.31,2,8,9,5,10,0,1,0,0,5,1,0,0
GINF,Faculté (FS),Agadir,16.97,3,5,10,4,10,5,3,1,0,9,1,1,10700
Cybersécurité,Faculté (FS),Agadir,16.62,3,6,7,8,8,4,1,0,0,9,1,1,9300
Réseaux & Télécoms,FST,Casablanca,12.88,2,6,8,7,10,0,1,0,0,5,0,0,0
Cybersécurité,FST,Agadir,14.8,4,8,10,9,5,6,1,0,1,5,1,1,11900
GI,OFPPT,Marrakech,11.25,2,5,6,8,4,5,1,1,0,6,1,0,0
GI,ENSA,Rabat,14.28,0,7,3,9,10,1,0,1,0,6,0,0,0
Cybersécurité,ENSA,Agadir,11.84,4,8,8,7,9,3,2,0,0,7,1,1,12400
Data Science,OFPPT,Rabat,15.95,2,6,5,7,5,2,2,0,0,7,1,0,0
Développement Web,Faculté (FS),Kenitra,14.22,3,8,4,9,7,6,3,1,0,7,0,1,9500
GI,OFPPT,Marrakech,13.29,2,7,9,8,6,6,2,1,1,5,1,1,9100
Développement Web,Faculté (FS),Agadir,12.15,1,4,7,6,10,3,2,0,0,5,0,1,8700
GI,OFPPT,Casablanca,17.99,2,9,4,10,3,3,0,1,0,6,1,0,0
GINF,FST,Casablanca,10.57,4,9,7,3,9,1,1,1,0,6,1,0,0
Réseaux & Télécoms,OFPPT,Kenitra,10.35,2,10,10,4,6,3,1,0,0,4,1,0,0
GI,Privée (EMSI/IGA),Rabat,11.74,3,9,8,6,7,2,1,0,0,4,0,1,13000
Développement Web,Faculté (FS),Fès,17.77,0,4,5,4,3,6,2,1,1,9,1,0,0
GINF,ENSA,Casablanca,17.83,1,7,10,9,9,0,2,0,0,5,0,0,0
GI,EST,Casablanca,15.24,4,10,5,3,5,3,3,0,0,9,1,1,10700
Data Science,ENSA,Casablanca,17.04,3,5,10,9,10,2,0,1,0,6,0,1,12500
Réseaux & Télécoms,ENSA,Marrakech,11.71,1,8,5,5,6,2,0,0,0,5,1,0,0
GI,EST,Casablanca,17.78,2,7,5,9,4,1,3,0,1,9,1,1,10200
GINF,Faculté (FS),Tanger,11.14,1,4,3,8,9,3,3,1,0,9,0,0,0
Data Science,Faculté (FS),Agadir,10.81,0,10,10,6,8,6,3,0,0,8,1,1,9200
Cybersécurité,FST,Kenitra,10.9,1,6,3,9,8,1,1,0,0,4,1,0,0
GINF,Faculté (FS),Casablanca,14.59,1,9,7,3,7,0,1,0,0,7,1,1,9300
GINF,ENSA,Fès,16.25,2,9,3,8,7,0,1,0,0,5,1,0,0
Data Science,ENSA,Fès,12.93,2,7,7,6,6,5,1,1,0,10,0,0,0
GINF,ENSA,Casablanca,17.82,4,9,9,9,5,7,3,1,1,8,0,1,14500
Data Science,FST,Casablanca,13.48,2,9,3,7,5,2,3,0,0,7,1,0,0
GI,ENSA,Tanger,11.2,1,7,3,9,4,3,3,0,0,9,1,0,0
Data Science,EST,Casablanca,13.73,0,7,3,10,4,5,1,1,0,8,1,0,0
Data Science,FST,Casablanca,15.43,2,10,9,6,6,6,1,0,0,10,1,1,11200
Réseaux & Télécoms,OFPPT,Agadir,16.66,4,4,6,5,3,2,2,0,0,6,1,0,0
Data Science,ENSA,Fès,13.67,4,4,9,5,5,6,3,1,0,6,1,1,13000
Data Science,Faculté (FS),Tanger,14.75,1,9,5,4,9,3,0,0,0,6,0,0,0
Cybersécurité,Faculté (FS),Fès,12.14,2,10,9,10,9,7,0,0,0,9,1,1,8800
GI,OFPPT,Tanger,15.17,2,7,6,6,9,1,2,1,1,7,0,0,0
Réseaux & Télécoms,Privée (EMSI/IGA),Fès,17.89,4,7,3,9,3,0,1,1,0,7,1,0,0
Cybersécurité,ENSA,Casablanca,10.39,2,9,3,7,10,5,3,0,1,6,1,1,12300
Développement Web,ENSA,Fès,17.09,1,5,6,9,10,6,1,1,0,9,1,1,10100
GI,OFPPT,Fès,14.5,0,6,10,5,3,5,1,0,0,7,0,0,0
GI,FST,Tanger,12.02,1,8,8,10,6,0,0,0,0,6,1,0,0
Développement Web,Faculté (FS),Kenitra,17.64,2,8,7,4,10,1,0,1,0,5,1,0,0
Data Science,Faculté (FS),Rabat,13.87,1,9,5,9,4,4,3,0,0,6,0,0,0
Cybersécurité,Faculté (FS),Tanger,12.65,3,10,9,7,3,4,3,0,0,9,1,1,10500
GINF,Privée (EMSI/IGA),Tanger,11.45,3,8,7,7,6,6,1,0,0,4,1,1,11800
Réseaux & Télécoms,Privée (EMSI/IGA),Tanger,11.96,2,4,10,9,4,4,1,0,0,5,1,0,0
GINF,OFPPT,Marrakech,16.66,2,10,8,7,3,3,2,0,0,9,1,1,8400
Développement Web,EST,Kenitra,14.92,0,10,5,3,3,5,1,1,1,10,1,0,0
GI,OFPPT,Marrakech,17.31,1,4,4,5,9,1,2,0,0,6,1,0,0
GI,ENSA,Marrakech,11.86,0,5,5,3,4,3,1,0,0,4,1,0,0
Réseaux & Télécoms,ENSA,Tanger,10.97,2,9,9,3,8,3,1,0,0,6,1,0,0
GI,OFPPT,Rabat,10.05,2,4,7,5,4,6,1,0,0,5,1,0,0
GI,EST,Tanger,14.06,4,9,5,6,7,1,3,0,1,6,0,0,0
Réseaux & Télécoms,ENSA,Casablanca,17.99,0,9,4,8,9,3,3,0,0,7,1,1,11000
Cybersécurité,ENSA,Rabat,15.56,2,10,4,4,7,6,3,0,0,6,1,0,0
Cybersécurité,OFPPT,Marrakech,12.47,3,7,3,10,6,5,2,0,0,5,1,1,7900
Réseaux & Télécoms,FST,Fès,17.01,4,6,9,9,6,1,2,1,0,8,1,1,11600
Développement Web,Faculté (FS),Fès,16.25,1,6,4,10,10,7,3,0,1,6,0,1,9000
GI,ENSA,Kenitra,10.12,4,9,6,8,5,4,2,0,1,7,1,1,12500
GI,OFPPT,Agadir,16.53,1,6,7,8,7,4,3,0,0,10,1,1,8100
Développement Web,OFPPT,Kenitra,12.4,3,6,6,8,4,3,0,0,0,5,1,0,0
Cybersécurité,EST,Rabat,11.2,1,8,8,8,10,0,3,0,1,4,1,1,10300
Data Science,FST,Marrakech,11.81,0,10,6,5,10,1,0,0,0,8,1,0,0
Data Science,ENSA,Rabat,13.75,1,8,7,8,7,2,1,0,0,10,1,0,0
Data Science,Privée (EMSI/IGA),Rabat,13.4,1,7,10,4,8,6,2,0,1,9,0,1,13300
Cybersécurité,Faculté (FS),Fès,12.31,4,5,8,9,9,7,2,0,0,6,0,1,10400
Cybersécurité,Privée (EMSI/IGA),Tanger,11.38,3,10,6,6,10,2,3,0,0,5,1,1,12400
Développement Web,EST,Casablanca,16.1,1,4,10,5,10,3,1,0,0,7,0,1,9400
GI,OFPPT,Agadir,17.92,0,4,6,8,6,0,1,1,0,7,1,0,0
Développement Web,OFPPT,Marrakech,16.22,4,8,9,7,8,1,1,1,0,5,1,1,9200
Développement Web,Faculté (FS),Rabat,12.37,3,9,8,9,6,4,1,1,0,10,0,1,10500
Cybersécurité,Privée (EMSI/IGA),Agadir,11.96,3,6,6,5,8,3,2,0,0,7,0,0,0
Data Science,EST,Rabat,11.74,2,7,4,6,10,1,3,0,0,9,1,0,0
GINF,ENSA,Fès,11.09,0,5,10,8,6,1,3,0,0,10,1,0,0
GI,Faculté (FS),Casablanca,14.41,4,8,7,3,4,1,0,0,0,8,1,0,0
Cybersécurité,OFPPT,Fès,14.84,4,9,7,5,8,0,2,0,0,4,1,1,9200
Data Science,Faculté (FS),Agadir,15.64,0,7,7,9,9,1,0,0,1,10,0,1,7900
GINF,ENSA,Marrakech,15.44,3,9,6,9,3,0,1,0,0,7,1,0,0
GINF,FST,Rabat,12.34,1,7,4,7,6,0,3,0,1,7,1,1,11000
Cybersécurité,EST,Casablanca,12.64,0,8,7,9,10,5,0,0,0,4,1,1,7900
Réseaux & Télécoms,FST,Fès,15.45,4,7,5,5,7,7,2,0,0,8,1,1,10800
GI,Faculté (FS),Agadir,12.8,0,10,7,3,3,1,3,0,0,8,1,0,0
GINF,OFPPT,Fès,11.7,3,6,3,5,7,5,2,0,0,8,1,0,0
Cybersécurité,ENSA,Rabat,12.99,2,7,5,7,10,4,3,0,1,9,1,1,12700
Cybersécurité,FST,Rabat,12.18,2,5,7,6,6,5,2,0,1,10,1,1,11700
Data Science,EST,Marrakech,10.71,1,7,6,7,10,7,2,0,0,7,1,1,8000
Réseaux & Télécoms,ENSA,Casablanca,16.64,1,10,10,6,4,5,3,0,0,10,0,1,12700
GI,OFPPT,Tanger,16.82,3,4,7,7,9,7,2,0,0,7,0,1,8700
Développement Web,Privée (EMSI/IGA),Fès,11.76,1,10,4,4,9,6,2,0,0,8,0,1,10600
Data Science,EST,Rabat,10.52,2,7,4,5,3,6,1,1,0,7,0,0,0
GINF,OFPPT,Agadir,15.91,3,9,7,10,3,6,3,1,0,10,0,1,9100
GINF,OFPPT,Fès,11.69,3,8,9,9,6,1,0,1,0,6,1,1,8300
Data Science,OFPPT,Marrakech,13.15,3,4,6,5,9,4,3,0,0,10,0,1,8900
Cybersécurité,ENSA,Marrakech,10.51,0,8,6,3,9,3,3,0,0,7,1,0,0
GINF,Privée (EMSI/IGA),Rabat,11.81,1,9,6,4,8,2,1,0,0,9,1,0,0
Réseaux & Télécoms,EST,Rabat,16.34,4,5,7,3,6,3,0,1,0,8,1,0,0
GI,EST,Rabat,16.44,2,6,10,5,6,0,0,1,1,10,1,0,0
Réseaux & Télécoms,ENSA,Kenitra,11.66,1,5,7,3,9,7,0,1,1,5,1,0,0
GINF,FST,Tanger,12.69,2,4,3,6,5,3,2,0,0,8,1,0,0
Développement Web,ENSA,Rabat,11.07,1,9,4,4,4,2,2,0,0,5,0,0,0
GI,ENSA,Fès,10.59,4,9,9,9,8,7,2,0,0,7,1,1,12600
GI,EST,Fès,17.94,2,6,5,7,10,2,0,1,0,7,0,1,7500
Data Science,OFPPT,Kenitra,15.24,4,7,5,6,4,4,3,0,0,9,1,0,0
Data Science,OFPPT,Kenitra,14.34,2,4,10,8,9,6,3,0,0,5,1,1,9200
Développement Web,EST,Casablanca,16.12,0,6,4,7,6,3,0,0,0,10,1,0,0
Cybersécurité,OFPPT,Agadir,16.72,0,10,8,3,5,0,0,1,0,8,1,0,0
GI,OFPPT,Rabat,16.45,2,10,3,5,10,5,1,0,0,4,1,0,0
Développement Web,OFPPT,Fès,10.13,2,8,4,6,10,5,2,1,0,10,1,1,7600
Data Science,ENSA,Kenitra,11.49,4,6,3,4,9,0,2,0,0,4,1,0,0
Data Science,Faculté (FS),Fès,15.24,3,8,8,7,6,4,2,0,0,8,0,1,9900
GI,Privée (EMSI/IGA),Fès,13.01,2,10,3,8,6,7,1,0,0,7,0,0,0
Réseaux & Télécoms,Faculté (FS),Kenitra,17.86,1,10,6,6,4,5,1,1,0,5,1,1,8100
GINF,EST,Tanger,15.32,1,8,4,9,9,4,1,1,1,10,1,1,7700
Data Science,FST,Kenitra,17.65,1,9,5,9,5,5,0,0,0,5,1,0,0
Cybersécurité,Faculté (FS),Kenitra,11.61,0,6,7,5,4,5,1,0,0,8,1,0,0
Cybersécurité,FST,Agadir,16.91,4,9,8,4,6,3,3,0,0,8,0,1,11800
Data Science,ENSA,Kenitra,12.57,0,10,8,4,7,4,0,0,0,6,1,0,0
Réseaux & Télécoms,EST,Marrakech,17.92,1,9,7,7,3,2,0,0,0,9,0,0,0
Réseaux & Télécoms,OFPPT,Kenitra,11.26,2,5,4,6,9,0,2,0,0,5,1,0,0
Développement Web,OFPPT,Fès,14.13,1,5,9,6,8,5,2,0,0,9,0,0,0
Cybersécurité,ENSA,Rabat,16.34,2,9,7,10,6,6,1,0,0,6,1,1,11800
Développement Web,Privée (EMSI/IGA),Fès,13.46,4,9,3,4,8,2,3,1,0,7,0,0,0
Cybersécurité,EST,Agadir,13.74,3,8,7,9,10,1,0,1,0,5,1,1,8400
GINF,Faculté (FS),Marrakech,17.89,2,9,3,10,5,2,0,0,0,9,0,0,0
GINF,OFPPT,Kenitra,13.4,0,4,3,3,9,6,0,0,0,8,1,0,0
GI,OFPPT,Tanger,14.83,1,6,5,4,7,0,2,1,0,8,1,0,0
Développement Web,Privée (EMSI/IGA),Casablanca,10.44,1,4,7,5,8,1,2,0,0,7,1,1,12200
Data Science,EST,Kenitra,16.74,1,5,9,6,9,3,3,0,0,9,1,1,9000
Développement Web,OFPPT,Rabat,15.19,2,4,5,9,8,6,2,1,0,9,1,1,8800
Data Science,ENSA,Casablanca,13.23,4,7,9,7,5,1,3,1,0,4,1,0,0
Réseaux & Télécoms,OFPPT,Tanger,10.13,2,7,7,10,6,4,2,1,0,6,0,1,8200
Développement Web,OFPPT,Agadir,14.73,0,5,9,6,6,0,3,0,0,8,1,0,0
Réseaux & Télécoms,Faculté (FS),Agadir,10.1,1,4,3,9,3,4,2,0,0,9,1,0,0
GINF,EST,Tanger,10.01,2,6,9,4,5,2,2,0,0,10,1,0,0
GINF,OFPPT,Fès,14.93,1,5,7,5,7,3,1,0,0,5,1,0,0
GI,ENSA,Tanger,11.51,0,7,8,3,3,0,1,0,0,9,1,0,0
Développement Web,ENSA,Kenitra,11.54,3,5,8,9,9,3,1,0,0,5,0,0,0
Réseaux & Télécoms,OFPPT,Rabat,15.23,3,4,5,9,5,5,3,0,1,10,1,1,10200
Data Science,FST,Marrakech,10.43,3,4,10,6,6,0,3,0,1,5,1,0,0
GINF,OFPPT,Kenitra,12.51,1,4,6,4,3,6,3,1,1,7,0,0,0
GINF,EST,Kenitra,11.2,2,8,8,8,6,4,3,0,0,10,1,1,9300
Data Science,ENSA,Kenitra,14.64,1,4,9,4,4,2,1,0,0,4,1,0,0
Réseaux & Télécoms,OFPPT,Casablanca,15.29,4,9,5,4,4,1,0,0,0,6,1,0,0
Réseaux & Télécoms,FST,Casablanca,15.77,2,7,9,5,3,7,2,0,0,5,1,0,0
Développement Web,ENSA,Agadir,12.04,0,10,6,10,3,7,2,0,0,5,1,1,10000
Développement Web,OFPPT,Kenitra,10.71,3,7,4,10,5,3,3,1,0,8,0,0,0
Cybersécurité,FST,Fès,10.63,2,8,5,4,9,0,1,0,0,4,0,0,0
Cybersécurité,Faculté (FS),Agadir,13.41,2,7,8,9,7,0,0,0,0,8,0,0,0
GI,FST,Rabat,17.57,3,7,8,4,7,5,1,0,0,7,0,0,0
GINF,OFPPT,Tanger,11.74,0,5,7,4,4,3,2,0,0,7,1,0,0
Développement Web,OFPPT,Casablanca,12.05,1,10,6,10,10,1,3,0,0,6,0,1,8900
Réseaux & Télécoms,OFPPT,Kenitra,10.81,1,10,8,6,4,2,3,1,1,10,1,1,8800
Data Science,ENSA,Rabat,14.84,2,4,7,4,4,0,1,1,0,7,1,0,0
Réseaux & Télécoms,OFPPT,Agadir,15.44,3,9,6,5,6,7,3,1,0,10,1,1,8900
GINF,Faculté (FS),Agadir,15.14,4,9,5,8,7,0,0,0,0,6,1,0,0
Cybersécurité,Faculté (FS),Casablanca,16.89,0,5,5,6,3,3,2,1,0,8,1,0,0
Réseaux & Télécoms,EST,Agadir,13.89,1,9,7,10,4,3,0,0,0,5,1,0,0
GI,OFPPT,Fès,11.08,0,5,5,9,8,0,1,1,0,5,1,0,0
GINF,OFPPT,Agadir,12.32,0,10,7,8,10,0,2,0,1,10,1,1,7700
Cybersécurité,ENSA,Marrakech,15.3,0,10,3,4,5,5,0,1,0,4,1,0,0
Data Science,FST,Tanger,14.9,3,10,9,3,9,0,0,0,0,7,0,1,10300
Cybersécurité,OFPPT,Agadir,14.25,3,9,6,8,3,4,0,1,0,4,1,1,7700
GI,ENSA,Marrakech,15.46,3,7,7,5,9,0,2,0,0,4,1,0,0
GINF,Privée (EMSI/IGA),Rabat,15.1,2,10,6,10,3,2,2,0,0,5,1,0,0
Data Science,Faculté (FS),Agadir,17.05,3,6,10,3,3,2,3,0,0,7,1,0,0
GI,Faculté (FS),Fès,14.69,2,4,3,5,7,6,1,0,0,5,1,0,0
Cybersécurité,EST,Rabat,16.23,1,6,6,9,10,5,3,0,1,10,0,1,9900
GI,ENSA,Kenitra,11.99,1,7,7,3,4,1,1,0,0,9,1,0,0
GINF,Privée (EMSI/IGA),Agadir,15.43,1,8,9,4,5,3,2,0,1,4,1,0,0
Développement Web,EST,Casablanca,17.22,1,5,9,3,10,1,0,0,0,7,1,0,0
GI,OFPPT,Marrakech,13.09,1,9,5,9,9,0,3,0,0,9,1,1,7700
GI,EST,Marrakech,16.23,3,9,9,8,6,3,2,0,0,9,0,1,9600
Cybersécurité,ENSA,Casablanca,15.8,4,7,9,10,5,0,2,0,0,9,1,1,13600
Cybersécurité,ENSA,Tanger,10.48,3,9,10,3,5,3,2,0,0,10,1,1,12300
Data Science,FST,Kenitra,14.65,4,7,6,5,8,5,3,0,0,5,1,0,0
Cybersécurité,Privée (EMSI/IGA),Fès,11.04,3,6,6,4,5,6,2,1,0,6,1,0,0
Réseaux & Télécoms,EST,Marrakech,17.74,1,8,8,5,6,4,1,1,0,9,1,1,8000
GINF,EST,Rabat,16.49,0,5,8,4,5,7,1,1,0,6,0,0,0
GINF,EST,Fès,10.88,4,9,3,8,8,6,0,0,0,8,0,0,0
Développement Web,FST,Marrakech,10.97,0,8,4,7,5,4,3,1,0,8,1,0,0
Développement Web,FST,Kenitra,14.76,1,8,9,6,10,4,3,0,1,7,1,1,11000
GINF,OFPPT,Tanger,12.76,4,8,5,8,9,6,3,0,0,8,1,1,9200
Développement Web,FST,Kenitra,10.28,0,4,9,9,4,5,3,1,0,10,0,0,0
Data Science,FST,Rabat,14.33,3,8,7,8,8,6,3,1,0,7,1,1,12100
Cybersécurité,ENSA,Kenitra,13.1,1,10,3,6,4,1,2,1,0,4,1,0,0
GINF,Privée (EMSI/IGA),Fès,10.81,3,7,7,5,4,3,2,0,0,6,1,0,0
Développement Web,ENSA,Rabat,16.42,3,4,7,8,3,1,1,0,0,7,1,0,0
GINF,ENSA,Casablanca,17.32,1,10,6,4,8,7,3,0,0,10,1,1,11900
Réseaux & Télécoms,Faculté (FS),Agadir,16.05,4,4,3,3,5,3,3,0,0,10,1,0,0
GI,Faculté (FS),Casablanca,16.58,2,8,3,10,9,7,3,1,0,4,0,1,9800
Cybersécurité,FST,Fès,11.73,2,9,8,8,9,7,1,0,0,6,1,1,10000
GINF,FST,Agadir,12.11,1,9,10,6,9,0,3,0,0,5,1,1,10700
GI,OFPPT,Casablanca,11.67,2,9,5,8,7,7,3,0,0,4,1,1,9200
Développement Web,ENSA,Agadir,16.12,0,9,4,5,7,4,2,0,0,5,1,0,0
GI,OFPPT,Marrakech,17.58,4,7,7,10,7,4,1,1,0,8,0,1,8800
Cybersécurité,Faculté (FS),Kenitra,15.73,3,9,9,5,9,3,2,0,0,10,1,1,10100
GINF,FST,Rabat,17.05,3,5,5,10,6,1,0,0,0,7,1,0,0
Réseaux & Télécoms,FST,Agadir,15.11,1,8,9,5,10,1,3,0,1,6,1,0,0
Développement Web,EST,Marrakech,13.1,3,4,8,4,9,2,0,0,0,10,1,0,0
GINF,OFPPT,Kenitra,13.41,0,5,10,9,4,4,3,1,0,8,0,1,8200
Cybersécurité,FST,Kenitra,10.6,0,9,10,9,4,4,0,0,0,4,1,0,0
Développement Web,EST,Tanger,10.25,1,5,5,8,9,1,2,0,0,10,1,0,0
Data Science,Faculté (FS),Casablanca,15.56,3,4,7,10,4,4,1,0,1,8,1,1,10800
GI,Privée (EMSI/IGA),Tanger,13.51,2,9,6,5,8,1,0,1,0,5,1,1,10700
Cybersécurité,FST,Fès,14.42,2,5,6,7,6,2,2,0,0,10,0,0,0
Data Science,Privée (EMSI/IGA),Marrakech,14.46,4,7,7,3,5,3,0,1,0,5,0,0,0
GINF,EST,Tanger,12.22,1,7,8,9,3,7,0,0,1,9,1,1,8100
Réseaux & Télécoms,ENSA,Tanger,13.81,4,8,8,5,10,3,1,1,1,7,1,1,12500
Développement Web,ENSA,Kenitra,13.77,2,8,3,9,9,2,2,0,1,8,1,1,10900
GI,FST,Marrakech,13.11,2,10,4,10,9,4,1,0,0,9,1,1,9200
Développement Web,ENSA,Kenitra,16.57,2,5,9,4,10,6,3,0,0,6,1,1,12000
GINF,ENSA,Rabat,13.61,4,4,6,3,8,0,1,0,0,5,1,1,12600
